venue,title,date,venue_url,description
DTAI seminar,SaDe: Learning Models that Provably Satisfy Domain Constraints,Mar-22,https://people.cs.kuleuven.be/~jesse.davis/dtai2021-22.html
Spring Workshop on Mining and Learning,SaDe: Learning Models that Provably Satisfy Domain Constraints,Jun-22,https://dtai.cs.kuleuven.be/events/SML22,
