course,period,url,note
Informatica 1,2018-2020,https://onderwijsaanbod.kuleuven.be/2018/syllabi/n/H01T3CN.htm#activetab=begintermen_idm27693312,"Teaching Exercise Sessions."
Scripting Languages,2020-2021,https://onderwijsaanbod.kuleuven.be/2020/syllabi/e/G0W95BE.htm#activetab=doelstellingen_idm12730032,"Teaching Exercise Sessions and Grading Practical Assignments."
